"","iso3","country","nutrient","units","scenario","year","intake_orig","intake","intake_diff","intake_diff_cap"
"218","BLX","Belgium-Luxembourg","Protein","g/p/d","High",2030,0,0,0,0
"219","BLX","Belgium-Luxembourg","Vitamin A","mg/p/d retinol","Base",2030,0,0,0,0
"220","BLX","Belgium-Luxembourg","Vitamin A","mg/p/d retinol","High",2030,0,0,0,0
"221","BLX","Belgium-Luxembourg","Vitamin B12","ug/p/d","Base",2030,0,0,0,0
"222","BLX","Belgium-Luxembourg","Vitamin B12","ug/p/d","High",2030,0,0,0,0
"223","BLX","Belgium-Luxembourg","Zinc","mg/p/d","Base",2030,0,0,0,0
"224","BLX","Belgium-Luxembourg","Zinc","mg/p/d","High",2030,0,0,0,0
"225","BLZ","Belize","Calcium","mg/p/d","Base",2030,796.412267902,3153.45090965015,2357.03864174815,217.803035844886
"226","BLZ","Belize","Calcium","mg/p/d","High",2030,796.196180194,3201.12457718145,2404.92839698745,217.803035844886
"227","BLZ","Belize","Iron","mg/p/d","Base",2030,31.910904178,87.7070107562813,55.7961065782813,3.96167470982138
"228","BLZ","Belize","Iron","mg/p/d","High",2030,31.915541998,88.8432425243891,56.9277005263891,3.96167470982138
"229","BLZ","Belize","Omega-3 fatty acids","g/p/d","Base",2030,3.566604446,36.3578314403417,32.7912269943417,3.53128696217079
"230","BLZ","Belize","Omega-3 fatty acids","g/p/d","High",2030,3.565584672,37.027044337126,33.461459665126,3.53128696217079
"231","BLZ","Belize","Protein","g/p/d","Base",2030,122.922636456,250.418663308308,127.496026852308,1.68029227215039
"232","BLZ","Belize","Protein","g/p/d","High",2030,123.30084586,253.186008862125,129.885163002125,1.68029227215039
"233","BLZ","Belize","Vitamin A","mg/p/d retinol","Base",2030,853.07281321,1856.52560616949,1003.45279295949,90.8913862073486
"234","BLZ","Belize","Vitamin A","mg/p/d retinol","High",2030,851.837699736,1875.3990364713,1023.5613367353,90.8913862073486
"235","BLZ","Belize","Vitamin B12","ug/p/d","Base",2030,6.210403486,97.7324093050445,91.5220058190445,8.92886461569528
"236","BLZ","Belize","Vitamin B12","ug/p/d","High",2030,6.305347925,99.6637588877587,93.3584109627587,8.92886461569528
"237","BLZ","Belize","Zinc","mg/p/d","Base",2030,15.195907242,52.5197349151269,37.3238276731269,3.60004538744873
"238","BLZ","Belize","Zinc","mg/p/d","High",2030,15.196705483,53.2761638604961,38.0794583774961,3.60004538744873
"239","BEN","Benin","Calcium","mg/p/d","Base",2030,721.274152019,721.274152019,0,0
"240","BEN","Benin","Calcium","mg/p/d","High",2030,723.241934444,723.241934444,0,0
"241","BEN","Benin","Iron","mg/p/d","Base",2030,32.0429539,32.0429539,0,0
"242","BEN","Benin","Iron","mg/p/d","High",2030,32.099604839,32.099604839,0,0
"243","BEN","Benin","Omega-3 fatty acids","g/p/d","Base",2030,0.851271756,0.851271756,0,0
"244","BEN","Benin","Omega-3 fatty acids","g/p/d","High",2030,0.865232001,0.865232001,0,0
"245","BEN","Benin","Protein","g/p/d","Base",2030,124.524273317,124.524273317,0,0
"246","BEN","Benin","Protein","g/p/d","High",2030,125.221811544,125.221811544,0,0
"247","BEN","Benin","Vitamin A","mg/p/d retinol","Base",2030,1593.971302995,1593.971302995,0,0
"248","BEN","Benin","Vitamin A","mg/p/d retinol","High",2030,1597.728453768,1597.728453768,0,0
"249","BEN","Benin","Vitamin B12","ug/p/d","Base",2030,5.188499523,5.188499523,0,0
"250","BEN","Benin","Vitamin B12","ug/p/d","High",2030,5.236508375,5.236508375,0,0
"251","BEN","Benin","Zinc","mg/p/d","Base",2030,19.342962711,19.342962711,0,0
"252","BEN","Benin","Zinc","mg/p/d","High",2030,19.379211821,19.379211821,0,0
"253","BMU","Bermuda","Calcium","mg/p/d","Base",2030,0,0,0,0
